id,area,requirement,priority,verification,owner_role,status,evidence_path
A001,data,Every public number references inspected evidence and an exact page/table/cell/record locator,P0,Source audit plus schema/foreign-key test,fact_checker,not_run,
A002,data,"Current observation date is distinct from retrieval, publication and build dates",P0,Watermark fixture and UI assertions,data_engineer,not_run,
A003,data,"Missing, stale, provisional, revised and unavailable are visible distinct states",P0,Fixture-driven route screenshots,quality_engineer,not_run,
A004,data,"No unsupported 2026 deficit, rank or pressure claim inherited from the conversation",P0,All quarantine Q-IDs adjudicated and release grep,source_auditor,not_run,
A005,data,Fresh retrieval does not reset a stale source observation clock,P0,Repeated stale-source test,data_engineer,not_run,
A006,data,All deployed normalized records validate against versioned schemas,P0,Full JSON Schema plus cross-record audit,data_engineer,not_run,
A007,data,Data adapter failures preserve last-known-good snapshot and show age,P0,Broken-source integration test,data_engineer,not_run,
A008,data,Raw/private/licence-restricted materials are excluded from site and public repo,P0,Artifact and tracked-file rights/secret scan,quality_engineer,not_run,
A009,data,Source access limitations do not get silently replaced with fabricated values,P0,Adapter fallback and coverage audit,source_auditor,not_run,
A010,methods,Rainfall departures use defined normals and ratio-of-sums for aggregation,P0,Independent arithmetic replay and tests,hydrology,not_run,
A011,methods,Precipitation volume is not presented as usable water supply,P0,Formula and label audit,hydrology,not_run,
A012,methods,Population/rainfall ratios are not branded measured scarcity or demand,P0,Claim and chart audit,history_demography,not_run,
A013,methods,"Historical ranks compare eligible geography, baseline and same seasonal cutoff",P0,Comparison guard and included/excluded year ledger,history_demography,not_run,
A014,methods,Historical frequency k/N is not automatically a return period or probability,P0,Rank copy and formula review,fact_checker,not_run,
A015,methods,"Reservoir comparisons use matching monitored cohort, capacity definitions and units",P0,Cohort/capacity mismatch fixtures,hydrology,not_run,
A016,methods,"Groundwater level, recharge and extraction assessments are not conflated",P0,Metric/unit/vintage review,hydrology,not_run,
A017,methods,Population projections are distinguished from censuses and district estimates,P0,Geography and vintage audit,history_demography,not_run,
A018,methods,"Economic outcomes, exposures and conditional estimates are clearly separated",P0,Source and assumptions review,economy_access,not_run,
A019,geography,State/UT navigation comes from a dated official inventory rather than assumed counts,P0,Inventory join and route test,data_engineer,not_run,
A020,geography,District boundary changes and aliases have explicit crosswalks or exclusions,P0,Split/rename fixture,data_engineer,not_run,
A021,geography,"Maps use permitted, versioned boundaries with honest territorial notes where needed",P0,Rights/boundary review,quality_engineer,not_run,
A022,geography,District-level gaps are not disguised by copied state-level numbers,P0,Coverage and displayed-scale audit,fact_checker,not_run,
A023,geography,Map colors match tables; missingness is not normal-condition color,P0,Map-table agreement test,quality_engineer,not_run,
A024,geography,Basin and administrative geography remain distinct and discoverable,P1,Reader journey and metric-scale review,hydrology,not_run,
A025,editorial,"Homepage explains scope, latest verified conditions and where to explore",P0,Unprimed-reader walkthrough,editor,not_run,
A026,editorial,All 16 reporting beats have finished reporting or explicit evidence/gap decisions,P0,Coverage matrix,editor,not_run,
A027,editorial,"Each major story includes context, evidence, uncertainty and links to relevant local data",P0,Story rubric,editor,not_run,
A028,editorial,"Improvement, recovery and mixed regional evidence get comparable prominence",P0,Headline/news selection review,editor,not_run,
A029,editorial,"Government response distinguishes announcement, allocation, implementation and observed outcomes",P0,Action-tracker evidence audit,institutions_reporter,not_run,
A030,editorial,"No political rankings, endorsements, election forecasts or speculative motives",P0,Independent neutrality review,fact_checker,not_run,
A031,editorial,"Voices and quotes retain accurate attribution, event date and original context",P0,Quote ledger/source inspection,editor,not_run,
A032,editorial,"No invented interviews, expert endorsements, human reviews or bylines",P0,Byline and review-receipt audit,fact_checker,not_run,
A033,editorial,Wealth/access reporting includes documented buffers and shared-system exposure without stereotypes,P1,Evidence and framing review,economy_access,not_run,
A034,editorial,"Public-information advice is locally applicable, current and safe; contacts are verified",P0,Advice/official-contact and human-review check,institutions_reporter,not_run,
A035,editorial,User tips are labeled unverified until investigated; private details never auto-publish,P0,No unsanitized submission path; privacy review,quality_engineer,not_run,
A036,outlook,"Official forecasts retain issuer, issue/validity dates, geography, variable and horizon",P0,Forecast schema and source audit,hydrology,not_run,
A037,outlook,Expired forecasts are visibly expired and removed from current outlook summaries,P0,Expiry boundary and UI tests,data_engineer,not_run,
A038,outlook,"Worst plausible scenarios state mechanisms, assumptions, triggers and reversal signals",P0,Scenario review; no invented probability,hydrology,not_run,
A039,outlook,"No countdown, district prediction or composite crisis score without defensible validation",P0,Model/claim audit,fact_checker,not_run,
A040,updates,No-change refresh is idempotent and does not rewrite facts as new news,P0,Repeated-run hash diff,data_engineer,not_run,
A041,updates,"Revised source values invalidate affected calculations, charts and claims",P0,Dependency-graph revision fixture,data_engineer,not_run,
A042,updates,News records distinguish event date and publication date and deduplicate syndication,P0,Duplicate/source-chain fixture,editor,not_run,
A043,updates,"Corrections retain old and new claim, reason, time and affected release",P0,Correction workflow replay,editor,not_run,
A044,updates,Routine refresh preserves design/dependencies and emits a reviewable change brief,P0,Two candidate-update runs,lead,not_run,
A045,updates,Scheduled jobs and automatic publication remain disabled without explicit authorization,P0,Workflow/policy audit,lead,not_run,
A046,design,"Real screenshots at 360, 390, 768 and 1440 pixels receive independent review",P0,Screenshot paths and resolved findings,visual_designer,not_run,
A047,design,Narrative and essential facts remain readable with JavaScript disabled,P0,Browser no-JS route test,quality_engineer,not_run,
A048,design,"Charts have meaningful title, units, dates, annotations, source, table and export",P0,Chart component contract tests,frontend_engineer,not_run,
A049,design,"Keyboard navigation, focus order, contrast and reduced motion are checked",P0,Automated plus manual evidence with limitations,quality_engineer,not_run,
A050,design,Mobile interactions do not require hover; maps never trap page scrolling,P0,Touch-device walkthrough,visual_designer,not_run,
A051,design,"Long stories have accessible contents, section anchors and return-to-explorer paths",P1,Navigation journey,frontend_engineer,not_run,
